Tab,Arrivo,Categoria,Cosa fare,Cosa prenotare,Costo stimato USD,Da vedere,Data,Data notte,Google Maps,Guida stimata,Indirizzo,Link,Link prenotazione,Link utile,Luogo,Nome,Nome alloggio,Nota,Note,Pagamento,Partenza,Per quando,Priorità,Priorità del giorno,Stato,Tema,Titolo giornata,Voce,Zona
cose_da_fare,,Quartiere,Mission murals: Women’s Building + Clarion Alley,,0,,2026-07-05,,,,,,,https://clarionalleymuralproject.org/,San Francisco,,,,Street art; meglio di giorno.,,,,Media,,,,,,
cose_da_fare,,Vista,Painted Ladies / Alamo Square,,0,,2026-07-05,,,,,,,https://sfrecpark.org/Facilities/Facility/Details/Alamo-Square-151,San Francisco,,,,"Stop rapido, buono se passate da Mission/Haight.",,,,Media,,,,,,
cose_da_fare,,Quartiere/parco,Haight-Ashbury + Golden Gate Park,,0,,2026-07-05,,,,,,,https://sfrecpark.org/770/Golden-Gate-Park,San Francisco,,,,Scegliere solo una parte del parco: è grande.,,,,Media,,,,,,
cose_da_fare,,Museo/vista,De Young Museum / Hamon Observation Tower,,20-25 circa,,2026-07-05,,,,,,,https://www.famsf.org/visit/de-young,San Francisco,,,,La guida segnala che il ticket può includere anche Legion of Honor lo stesso giorno. Controllare prezzi/aperture.,,,,Bassa,,,,,,
cose_da_fare,,Museo,SFMOMA,,30 circa,,2026-07-05,,,,,,,https://www.sfmoma.org/visit/,San Francisco,,,,Opzionale solo se meteo brutto o interesse musei.,,,,Bassa,,,,,,
cose_da_fare,,Vista,Twin Peaks,,0,,2026-07-05,,,,,,,https://sfrecpark.org/Facilities/Facility/Details/Twin-Peaks-384,San Francisco,,,,Extra se c’è visibilità e avete auto.,,,,Bassa,,,,,,
cose_da_fare,,Trasferimento,Guidare con luce + massimo 1-2 soste,,benzina/parcheggi,,2026-07-06,,,,,,,"https://www.google.com/maps/dir/San+Francisco,+CA/Santa+Barbara,+CA",San Francisco → Santa Barbara,,,,"Consiglio guida: paesaggio bello, meglio evitare di arrivare troppo tardi.",,,,Alta,,,,,,
cose_da_fare,,Sosta opzionale,Sosta Monterey/Carmel,,0+,,2026-07-06,,,,,,,https://www.google.com/maps/search/Monterey+Carmel+California,Monterey / Carmel,,,,Solo se partenza presto; altrimenti tirate verso Santa Barbara.,,,,Bassa,,,,,,
cose_da_fare,,Sosta opzionale,Sosta San Luis Obispo o Pismo Beach,,0+,,2026-07-06,,,,,,,https://www.google.com/maps/search/San+Luis+Obispo+Pismo+Beach,San Luis Obispo / Pismo Beach,,,,Più compatibile con US-101 rispetto alla costa lenta.,,,,Media,,,,,,
cose_da_fare,,Passeggiata,Waterfront / Stearns Wharf,,0,,2026-07-06,,,,,,,https://stearnswharf.org/,Santa Barbara,,,,Da fare la sera se arrivate non troppo tardi.,,,,Media,,,,,,
cose_da_fare,,Vista,Santa Barbara Courthouse / Stearns Wharf breve,,0,,2026-07-07,,,,,,,https://santabarbaraca.gov/government/departments/parks-recreation/parks/parks-recreation-facilities/courthouse-gardens,Santa Barbara,,,,Fare breve prima di scendere verso LA.,,,,Media,,,,,,
cose_da_fare,,Biglietto,Warner Bros Studio Tour,,70-80 circa,,2026-07-07,,,,,,,https://www.wbstudiotour.com/,Los Angeles,,,,La guida lo consiglia molto: set veri/ricostruiti e dietro le quinte. Inserirlo solo se accettate di sacrificare altro a LA.,,,,Media,,,,,,
cose_da_fare,,Passeggiata,Beverly Hills + Rodeo Drive + Beverly Gardens Park,,0+,,2026-07-07,,,,,,,https://lovebeverlyhills.com/things-to-do/view/beverly-gardens-park,Los Angeles,,,,Stop classico e compatibile con il giro verso Hollywood/Griffith.,,,,Alta,,,,,,
cose_da_fare,,Stop rapido,Hollywood Walk of Fame,,0+,,2026-07-07,,,,,,,https://www.walkoffame.com/,Los Angeles,,,,La guida dice quick stop: non perderci troppo tempo.,,,,Media,,,,,,
cose_da_fare,,Vista,Griffith Observatory + vista Hollywood sign,,0+,,2026-07-07,,,,,,,https://griffithobservatory.org/,Los Angeles,,,,Molto consigliato dalla guida. Parcheggio difficile vicino al tramonto; controllare chiusure/aperture.,,,,Alta,,,,,,
cose_da_fare,,Passeggiata,Santa Monica Pier + Venice Beach,,0+ parcheggio,,2026-07-07,,,,,,,https://www.santamonica.com/places-to-go/santa-monica-pier/,Los Angeles,,,,Parcheggio spesso circa 20$/giorno; la guida consiglia di evitare dopo il tramonto.,,,,Alta,,,,,,
cose_da_fare,,Quartiere,Venice Canals + Venice Sign + Abbot Kinney,,0+ parcheggio,,2026-07-07,,,,,,,https://www.visitcalifornia.com/experience/venice-canals/,Los Angeles,,,,"Da fare con Santa Monica/Venice, meglio spostare l’auto se necessario.",,,,Media,,,,,,
cose_da_fare,,Quartiere,"Downtown LA mini-giro: Union Station, Olvera Street, City Hall, Grand Central Market, Bradbury",,0+,,2026-07-07,,,,,,,https://www.discoverlosangeles.com/things-to-do/los-angeles-union-station,Los Angeles,,,,Solo se avete energie. Evitare Skid Row. City Hall/edifici: controllare aperture.,,,,Bassa,,,,,,
cose_da_fare,,Extra serale,The Grove + LACMA Urban Light,,0+ parcheggio,,2026-07-07,,,,,,,https://www.lacma.org/urban-light,Los Angeles,,,,"Opzionale; Urban Light meglio la sera, ma non caricare troppo la giornata.",,,,Bassa,,,,,,
cose_da_fare,,Tool,BestParking per parcheggi LA,,variabile,,2026-07-07,,,,,,,https://www.bestparking.com/,Los Angeles,,,,"Utile per Santa Monica/Venice, Hollywood, Downtown.",,,,Alta,,,,,,
cose_da_fare,,Foto,Las Vegas Sign,,0,,2026-07-08,,,,,,,https://www.lasvegasnevada.gov/Residents/Parking-Transportation/Welcome-to-Las-Vegas-Sign,Las Vegas,,,,"Stop rapido entrando o uscendo, se comodo.",,,,Media,,,,,,
cose_da_fare,,Gratis,Bellagio fountains + Conservatory,,0,,2026-07-08,,,,,,,https://bellagio.mgmresorts.com/en/entertainment/fountains-of-bellagio.html,Las Vegas,,,,Classico; fontane e giardino interno gratis.,,,,Alta,,,,,,
cose_da_fare,,Gratis,Venetian Resort / canali interni,,0+,,2026-07-08,,,,,,,https://www.venetianlasvegas.com/,Las Vegas,,,,La guida lo consiglia perché architettonicamente scenico.,,,,Alta,,,,,,
cose_da_fare,,Gratis,Wynn / Lake of Dreams,,0+,,2026-07-08,,,,,,,https://www.wynnlasvegas.com/entertainment/lake-of-dreams,Las Vegas,,,,Show serale gratuito/da verificare; opzionale se siete sulla Strip.,,,,Media,,,,,,
cose_da_fare,,Vista/biglietto,Sphere da fuori o evento,,0 da fuori / ticket variabile,,2026-07-08,,,,,,,https://www.thesphere.com/shows,Las Vegas,,,,Da fuori gratis. Dentro solo con ticket evento/film.,,,,Alta,,,,,,
cose_da_fare,,Gratis,Fremont Street + Viva Vision,,0+,,2026-07-08,,,,,,,https://vegasexperience.com/,Las Vegas,,,,La guida dice diversa dalla Strip e pedonale. Viva Vision ogni sera.,,,,Alta,,,,,,
cose_da_fare,,Gratis,Downtown Container Park,,0+,,2026-07-08,,,,,,,https://downtowncontainerpark.com/,Las Vegas,,,,Opzionale se fate Fremont.,,,,Bassa,,,,,,
cose_da_fare,,Biglietto,The Neon Museum,,20-30 circa,,2026-07-08,,,,,,,https://www.neonmuseum.org/,Las Vegas,,,,Interessante ma da prenotare/valutare solo se avete tempo.,,,,Bassa,,,,,,
cose_da_fare,,Extra,Pawn Stars Gold & Silver Pawn Shop,,0+,,2026-07-08,,,,,,,https://gspawn.com/,Las Vegas,,,,Solo se siete fan; nella guida era stato fatto per interesse personale.,,,,Bassa,,,,,,
cose_da_fare,,Arte,Akhob by James Turrell,,0 ma prenotazione obbligatoria,,2026-07-08,,,,,,,https://www.louisvuitton.com/eng-us/stories/akhob,Las Vegas,,,,Opzionale; gratuito ma prenotazione spesso necessaria.,,,,Bassa,,,,,,
cose_da_fare,,Sosta opzionale,Hoover Dam stop,,parcheggio/tour variabile,,2026-07-09,,,,,,,https://www.usbr.gov/lc/hooverdam/,Las Vegas → Grand Canyon,,,,Compatibile con il trasferimento se partite presto.,,,,Media,,,,,,
cose_da_fare,,Sosta opzionale,Hackberry General Store / Seligman,,0+,,2026-07-09,,,,,,,https://www.google.com/maps/search/Hackberry+General+Store+Seligman+Route+66,Route 66,,,,La guida segnala che Seligman/Hackberry sono stop tipici Route 66; non esagerare con le soste.,,,,Media,,,,,,
cose_da_fare,,Sosta opzionale,Oatman ghost town,,0+,,2026-07-09,,,,,,,https://www.google.com/maps/search/Oatman+Arizona,Route 66 / Oatman,,,,"Leggero detour: inserirla solo se partite molto presto. Panorama bello secondo guida, città non imperdibile.",,,,Bassa,,,,,,
cose_da_fare,,Viewpoint,Mather Point / Yavapai Point,,coperto dal pass,,2026-07-09,,,,,,,https://www.nps.gov/grca/planyourvisit/south-rim.htm,Grand Canyon South Rim,,,,Punti comodi vicino Visitor Center.,,,,Alta,,,,,,
cose_da_fare,,Passeggiata/viewpoint,Powell Point → Hopi Point → Mohave Point,,coperto dal pass,,2026-07-09,,,,,,,https://www.nps.gov/grca/planyourvisit/shuttle-buses.htm,Grand Canyon South Rim,,,,La guida lo consiglia; controllare shuttle perché andata/ritorno non fermano sempre uguale.,,,,Alta,,,,,,
cose_da_fare,,Viewpoint,Desert View Drive / Desert View Watchtower,,coperto dal pass,,2026-07-09,,,,,,,https://www.nps.gov/grca/planyourvisit/desert-view.htm,Grand Canyon South Rim,,,,Da fare anche il giorno dopo uscendo verso Page.,,,,Alta,,,,,,
cose_da_fare,,Trasferimento panoramico,Uscita da Desert View Drive verso Page,,0,,2026-07-10,,,,,,,"https://www.google.com/maps/dir/Grand+Canyon+Village,+AZ/Page,+AZ",Grand Canyon → Page,,,,"Non fissarsi su un solo viewpoint: se meteo/nebbia cambia, provarne più di uno.",,,,Alta,,,,,,
cose_da_fare,,Vista,Horseshoe Bend,,10 auto circa,,2026-07-10,,,,,,,https://cityofpage.org/official-horseshoe-bend-information,Page,,,,Must secondo guida; breve ma molto bello. Camminata dal parcheggio.,,,,Alta,,,,,,
cose_da_fare,,Biglietto,Lower Antelope Canyon,,80-100+ a persona circa,,2026-07-10,,,,,,,https://www.antelopelowercanyon.com/,Page,,,,La guida ha fatto Lower e lo definisce stupendo. Prenotare slot e arrivare prima.,,,,Alta,,,,,,
cose_da_fare,,Biglietto,Upper Antelope Canyon,,100-120+ a persona circa,,2026-07-10,,,,,,,https://navajotours.com/,Page,,,,Alternativa più famosa/cara. Valutare in base a slot/prezzo.,,,,Media,,,,,,
cose_da_fare,,Vista,Glen Canyon Dam / Lake Powell viewpoint,,0+,,2026-07-10,,,,,,,https://www.nps.gov/glca/planyourvisit/placestogo.htm,Page,,,,Extra breve se avete tempo prima/dopo Antelope.,,,,Bassa,,,,,,
cose_da_fare,,Sosta opzionale,Kanab breve stop / pranzo,,0+,,2026-07-11,,,,,,,https://www.google.com/maps/search/Kanab+Utah+restaurants,Kanab,,,,Kanab è sulla direttrice verso Zion; non caricarlo troppo.,,,,Bassa,,,,,,
cose_da_fare,,Sosta opzionale,Little Hollywood Kanab,,0+,,2026-07-11,,,,,,,https://www.littlehollywoodmuseum.org/,Kanab,,,,Solo se vi serve pausa; western set gratuito/rapido.,,,,Bassa,,,,,,
cose_da_fare,,Mini-deviazione,Sand Caves Kanab / Dinosaur Tracks,,0,,2026-07-11,,,,,,,https://www.google.com/maps/search/Sand+Caves+Kanab+Dinosaur+Tracks,Kanab,,,,"Fattibile ma rischia di togliere tempo a Zion; scarpe adatte, evitare caldo forte.",,,,Bassa,,,,,,
cose_da_fare,,Strada panoramica,Zion-Mt. Carmel Highway,,coperto dal pass,,2026-07-11,,,,,,,https://www.nps.gov/zion/planyourvisit/the-zion-mount-carmel-tunnel.htm,Zion,,,,Arrivando da Page/Kanab è la strada scenica naturale.,,,,Alta,,,,,,
cose_da_fare,,Mini-hike,Canyon Overlook Trail,,coperto dal pass,,2026-07-11,,,,,,,https://www.nps.gov/thingstodo/hike-canyon-overlook.htm,Zion,,,,Da fare assolutamente secondo guida; breve ma attenzione caldo/parcheggio.,,,,Alta,,,,,,
cose_da_fare,,Parco/shuttle,Shuttle Zion Canyon fino a Temple of Sinawava,,coperto dal pass,,2026-07-11,,,,,,,https://www.nps.gov/zion/planyourvisit/zion-canyon-shuttle-system.htm,Zion,,,,Dopo Canyon Overlook bisogna parcheggiare e usare shuttle per lo Zion Canyon.,,,,Alta,,,,,,
cose_da_fare,,Passeggiata,Riverside Walk,,coperto dal pass,,2026-07-11,,,,,,,https://www.nps.gov/thingstodo/hike-riverside-walk.htm,Zion,,,,"Facile e scenico; dopo inizia The Narrows, da fare solo se preparati.",,,,Alta,,,,,,
cose_da_fare,,Food,Zion Canyon Brew Pub,,variabile,,2026-07-11,,,,,,,https://www.zionbrewery.com/,Springdale/Zion,,,,Food/beverage consigliato nella guida come stop vicino Zion.,,,,Media,,,,,,
cose_da_fare,,Food,The Cave Café,,variabile,,2026-07-11,,,,,,,https://www.google.com/maps/search/The+Cave+Cafe+Zion,Springdale/Zion,,,,"Opzione colazione/chai se comodo, controllare apertura.",,,,Bassa,,,,,,
cose_da_fare,,Trasferimento,Partenza verso Salt Lake City senza deviazioni lunghe,,benzina,,2026-07-12,,,,,,,"https://www.google.com/maps/dir/Zion+National+Park,+UT/Salt+Lake+City,+UT",Zion → Salt Lake City,,,,Niente deviazioni lunghe: arrivo a SLC come priorità.,,,,Alta,,,,,,
alloggi,,,,,,,,2026-07-04,,,Da inserire,,,,,,Da inserire,,Notte 4→5 luglio.,,,,,,,,,,San Francisco
alloggi,,,,,,,,2026-07-05,,,Da inserire,,,,,,Da inserire,,Notte 5→6 luglio.,,,,,,,,,,San Francisco
alloggi,,,,,,,,2026-07-06,,,Da inserire,,,,,,Da inserire,,Notte 6→7 luglio.,,,,,,,,,,Santa Barbara
alloggi,,,,,,,,2026-07-07,,,Da inserire,,,,,,Da inserire,,Notte 7→8 luglio.,,,,,,,,,,Los Angeles
alloggi,,,,,,,,2026-07-08,,,Da inserire,,,,,,Da inserire,,Notte 8→9 luglio.,,,,,,,,,,Las Vegas
alloggi,,,,,,,,2026-07-09,,,Da inserire,,,,,,Da inserire,,Meglio vicino al canyon; evitare Flagstaff se possibile perché allunga la sveglia.,,,,,,,,,,Grand Canyon South Rim / Tusayan
alloggi,,,,,,,,2026-07-10,,,Da inserire,,,,,,Da inserire,,Base corretta per Horseshoe Bend e Antelope Canyon.,,,,,,,,,,Page
alloggi,,,,,,,,2026-07-11,,,Da inserire,,,,,,Da inserire,,Springdale più comoda; Hurricane/La Verkin più economiche.,,,,,,,,,,Springdale / Hurricane / La Verkin
costi,,Parchi,,,250 gruppo,,,,,,,,,https://www.nps.gov/planyourvisit/passes.htm,,,,,Per 3 italiani conviene rispetto a pagare Grand Canyon + Zion separati.,Una volta sola,,,,,,,,America the Beautiful Non-Resident Annual Pass,
costi,,Parchi,,,Coperto dal pass,,,,,,,,,https://www.nps.gov/grca/planyourvisit/fees.htm,,,,,"Se non avete pass, controllare fee/surcharge non residenti.",Pass,,,,,,,,Grand Canyon South Rim,
costi,,Parchi,,,Coperto dal pass,,,,,,,,,https://www.nps.gov/zion/planyourvisit/fees.htm,,,,,Shuttle incluso/gestione parco secondo stagione.,Pass,,,,,,,,Zion National Park,
costi,,Page,,,10 auto circa,,,,,,,,,https://cityofpage.org/official-horseshoe-bend-information,,,,,Non coperto dal pass NPS.,Carta/contanti secondo regole locali,,,,,,,,Horseshoe Bend parking,
costi,,Page,,,80-120+ a persona,,,,,,,,,https://navajonationparks.org/guided-tour-operators/antelope-canyon-tour-operators/,,,,,"Tour guidato obbligatorio, prenotare prima.",Online,,,,,,,,Lower/Upper Antelope Canyon,
costi,,San Francisco,,,47.95 a persona circa,,,,,,,,,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,,,,,Prenotare presto.,Online,,,,,,,,Alcatraz Day Tour,
costi,,Los Angeles,,,70-80 circa,,,,,,,,,https://www.wbstudiotour.com/,,,,,Opzionale ma consigliato dalla guida.,Online,,,,,,,,Warner Bros Studio Tour,
costi,,Los Angeles,,,20+ al giorno possibile,,,,,,,,,https://www.bestparking.com/,,,,,Da usare per Santa Monica/Venice/Hollywood/Downtown.,Carta/app,,,,,,,,Parcheggi LA,
costi,,Las Vegas,,,0 fuori / ticket variabile,,,,,,,,,https://www.thesphere.com/shows,,,,,Da fuori gratis; evento/film a pagamento.,Online,,,,,,,,Sphere,
costi,,Las Vegas,,,20-30 circa,,,,,,,,,https://www.neonmuseum.org/,,,,,Opzionale.,Online,,,,,,,,Neon Museum,
costi,,Trasporti,,,Da calcolare,,,,,,,,,https://www.gasbuddy.com/,,,,,Stimare dopo scelta auto.,Carta,,,,,,,,Benzina roadtrip,
costi,,Varie,,,Buffer,,,,,,,,,,,,,,"Tenere buffer per caldo, acqua, parcheggi e snack.",Carta/cash,,,,,,,,Mance / parcheggi / acqua,
auto_documenti,,Auto,,,,,,,,,,,,,,,,,"Pickup San Francisco, drop-off Salt Lake City. Verificare one-way fee e guidatori aggiuntivi.",,,,,,Da definire,,,Noleggio auto,
auto_documenti,,Auto,,,,,,,,,,,,,,,,,Controllare cosa copre carta/assicurazione e cosa serve in USA.,,,,,,Da verificare,,,Assicurazione CDW/LDW,
auto_documenti,,Auto,,,,,,,,,,,,,,,,,Inserire tutti i guidatori al banco se guideranno davvero.,,,,,,Da definire,,,Guidatori autorizzati,
auto_documenti,,Documenti,,,,,,,,,,,,https://www.aci.it/i-servizi/guide-utili/guida-allestero/patente-internazionale.html,,,,,Verificare se fare anche patente internazionale; utile con alcune compagnie/stati.,,,,,,Da portare,,,Patente italiana,
auto_documenti,,Documenti,,,,,,,,,,,,,,,,,Controllare scadenza e dati prenotazioni.,,,,,,Da portare,,,Passaporto,
auto_documenti,,Documenti,,,,,,,,,,,,https://esta.cbp.dhs.gov/,,,,,Stampare/salvare conferma approvazione.,,,,,,Da confermare,,,ESTA,
auto_documenti,,Pagamenti,,,,,,,,,,,,,,,,,Molti autonoleggi richiedono carta fisica intestata al guidatore principale.,,,,,,Da verificare,,,Carta credito/debito per deposito,
auto_documenti,,Viaggio,,,,,,,,,,,,,,,,,A luglio portare tanta acqua; evitare camminate lunghe nelle ore più calde.,,,,,,Da fare,,,Acqua e caldo parchi,
auto_documenti,,Viaggio,,,,,,,,,,,,,,,,,"Consiglio guida: paesaggi belli, meglio guidare con luce quando possibile.",,,,,,Promemoria,,,Guidare con luce,
prenotazioni,,,,Alcatraz Day Tour,47.95 a persona circa,,,,,,,,,https://www.cityexperiences.com/san-francisco/city-cruises/alcatraz/tour-options/,,,,,In estate meglio prenotare prima.,,,2026-07-05,Alta se volete farlo,,Da decidere,,,,
prenotazioni,,,,Alloggio San Francisco,,,,,,,,,,,,,,,Due notti.,,,2026-07-04 / 2026-07-05,Alta,,Da fare,,,,
prenotazioni,,,,Alloggio Santa Barbara,,,,,,,,,,,,,,,Una notte.,,,2026-07-06,Alta,,Da fare,,,,
prenotazioni,,,,Alloggio Los Angeles,,,,,,,,,,,,,,,Scegliere zona comoda per partenza verso Las Vegas.,,,2026-07-07,Alta,,Da fare,,,,
prenotazioni,,,,Alloggio Las Vegas,,,,,,,,,,,,,,,Valutare parcheggio/resort fee.,,,2026-07-08,Alta,,Da fare,,,,
prenotazioni,,,,Alloggio Grand Canyon/Tusayan,,,,,,,,,,,,,,,Guida consiglia di dormire più vicino possibile al canyon.,,,2026-07-09,Molto alta,,Da fare,,,,
prenotazioni,,,,Antelope Canyon tour,80-120+ a persona circa,,,,,,,,,https://navajonationparks.org/guided-tour-operators/antelope-canyon-tour-operators/,,,,,Prenotare slot e arrivare in anticipo.,,,2026-07-10,Molto alta,,Da fare,,,,
prenotazioni,,,,Alloggio Page,,,,,,,,,,,,,,,Base per Antelope/Horseshoe Bend.,,,2026-07-10,Alta,,Da fare,,,,
prenotazioni,,,,Alloggio Zion/Springdale/Hurricane,,,,,,,,,,,,,,,"Springdale più comoda, Hurricane/La Verkin più economiche.",,,2026-07-11,Alta,,Da fare,,,,
