Data,Luogo,Cosa fare,Categoria,Priorità,Costo stimato USD,Link utile,Note
2026-07-11,Kanab,Kanab breve stop / pranzo,Sosta opzionale,Bassa,0+,https://www.google.com/maps/search/Kanab+Utah+restaurants,Kanab è sulla direttrice verso Zion; non caricarlo troppo.
2026-07-11,Kanab,Little Hollywood Kanab,Sosta opzionale,Bassa,0+,https://www.littlehollywoodmuseum.org/,Solo se vi serve pausa; western set gratuito/rapido.
2026-07-11,Kanab,Sand Caves Kanab / Dinosaur Tracks,Mini-deviazione,Bassa,0,https://www.google.com/maps/search/Sand+Caves+Kanab+Dinosaur+Tracks,"Fattibile ma rischia di togliere tempo a Zion; scarpe adatte, evitare caldo forte."
2026-07-11,Zion,Zion-Mt. Carmel Highway,Strada panoramica,Alta,coperto dal pass,https://www.nps.gov/zion/planyourvisit/the-zion-mount-carmel-tunnel.htm,Arrivando da Page/Kanab è la strada scenica naturale.
2026-07-11,Zion,Canyon Overlook Trail,Mini-hike,Alta,coperto dal pass,https://www.nps.gov/thingstodo/hike-canyon-overlook.htm,Da fare assolutamente secondo guida; breve ma attenzione caldo/parcheggio.
2026-07-11,Zion,Shuttle Zion Canyon fino a Temple of Sinawava,Parco/shuttle,Alta,coperto dal pass,https://www.nps.gov/zion/planyourvisit/zion-canyon-shuttle-system.htm,Dopo Canyon Overlook bisogna parcheggiare e usare shuttle per lo Zion Canyon.
2026-07-11,Zion,Riverside Walk,Passeggiata,Alta,coperto dal pass,https://www.nps.gov/thingstodo/hike-riverside-walk.htm,"Facile e scenico; dopo inizia The Narrows, da fare solo se preparati."
2026-07-11,Springdale/Zion,Zion Canyon Brew Pub,Food,Media,variabile,https://www.zionbrewery.com/,Food/beverage consigliato nella guida come stop vicino Zion.
2026-07-11,Springdale/Zion,The Cave Café,Food,Bassa,variabile,https://www.google.com/maps/search/The+Cave+Cafe+Zion,"Opzione colazione/chai se comodo, controllare apertura."
2026-07-12,Zion → Salt Lake City,Partenza verso Salt Lake City senza deviazioni lunghe,Trasferimento,Alta,benzina,"https://www.google.com/maps/dir/Zion+National+Park,+UT/Salt+Lake+City,+UT",Niente deviazioni lunghe: arrivo a SLC come priorità.
